GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-com.splitspend.auth.service,com.splitspend.auth.service,UserAuthService,42,57,2,2,7,13,4,4,2,4
auth-com.splitspend.auth.service,com.splitspend.auth.service.exception,ServiceException,5,4,0,0,2,2,1,1,1,1
auth-com.splitspend.auth.service,com.splitspend.auth.service.exception,UserNotRegisteredServiceException,4,0,0,0,2,0,1,0,1,0
auth-com.splitspend.auth.service,com.splitspend.auth.service.exception,UserAuthenticationException,0,4,0,0,0,2,0,1,0,1
auth-com.splitspend.auth.service,com.splitspend.auth.config,SpringSecurity,0,7,0,0,0,2,0,2,0,2
auth-com.splitspend.auth.service,com.splitspend.auth.controller,AuthController,10,16,0,0,2,5,1,2,1,2
auth-com.splitspend.auth.service,com.splitspend.auth.controller,GlobalExceptionHandler.ErrorResponse,0,9,0,0,0,4,0,2,0,2
auth-com.splitspend.auth.service,com.splitspend.auth.controller,GlobalExceptionHandler,24,14,0,0,5,3,2,2,2,2
auth-com.splitspend.auth.service,com.splitspend.auth.controller,AuthResponseDto,0,12,0,0,0,1,0,1,0,1
auth-com.splitspend.auth.service,com.splitspend.auth.controller,LoginRequestDto,0,9,0,0,0,1,0,1,0,1
auth-com.splitspend.auth.service,com.splitspend.auth.controller,RegisterRequestDto,109,12,22,0,2,2,18,2,7,2
auth-com.splitspend.auth.service,com.splitspend.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
auth-com.splitspend.auth.service,com.splitspend.auth.entity,User,31,15,0,0,8,5,3,5,3,5
